Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,strongcompnum,eigencentrality
1_1,,,0,32,32,0,32,32,17,0.156675,0.198845,0,0.000113,0,1185,0
1_2,,,4,4,8,4,4,8,19,0.111467,0.128129,0.006147,0.000266,0,1081,0.10064
1_3,,,2,0,2,2,0,2,0,0,0,0,0.000138,0,1184,0.053034
1_4,,,4,16,20,4,16,20,19,0.112899,0.141915,0.000511,0.000201,0,1183,0.064776
3_1,,,3,1,4,3,1,4,1,1,1,0.000048,0.000293,0,1008,0.307374
3_2,,,3,1,4,3,1,4,22,0.08698,0.101723,0.000104,0.000293,0,1081,0.307374
4_78,,,7,5,12,7,5,12,22,0.086513,0.096695,0.002094,0.000682,0,1081,0.122758
6_3,,,2,1,3,2,1,3,1,1,1,0,0.00077,0,1104,0.025116
6_14,,,1,4,5,1,4,5,2,0.833333,0.9,0,0.000116,0,1120,0.005871
7_180,,,1,0,1,1,0,1,0,0,0,0,0.000116,0,1118,0.005871
9_128,,,4,5,9,4,5,9,18,0.106186,0.124924,0.006051,0.000242,0,1081,0.077363
11_41,,,3,8,11,3,8,11,21,0.097917,0.117289,0.00273,0.000215,0,1081,0.071973
13_28,,,2,0,2,2,0,2,0,0,0,0,0.000153,0,458,0.084612
14_1,,,3,2,5,3,2,5,23,0.082562,0.090786,0.000037,0.000215,0,1081,0.034359
14_2,,,1,1,2,1,1,2,19,0.100011,0.110035,0.000007,0.000116,0,1117,0.005871
16_53,,,3,1,4,3,1,4,1,1,1,0.00006,0.000364,0,749,0.093669
17_110,,,5,2,7,5,2,7,21,0.098654,0.112348,0.000659,0.000361,0,1105,0.066993
18_38,,,1,0,1,1,0,1,0,0,0,0,0.000116,0,1116,0.005871
19_65,,,2,0,2,2,0,2,0,0,0,0,0.000132,0,1115,0.011742
20_5,,,1,0,1,1,0,1,0,0,0,0,0.000116,0,1114,0.005871
23_88,,,4,3,7,4,3,7,4,0.444444,0.604167,0.000171,0.000375,0,146,0.120614
25_59,,,1,3,4,1,3,4,19,0.104777,0.117647,0.000009,0.000116,0,1113,0.005871
25_60,,,1,1,2,1,1,2,22,0.089843,0.099482,0,0.000116,0,1106,0.005871
33_43,,,2,6,8,2,6,8,21,0.095084,0.111255,0.000687,0.000141,0,1081,0.027286
43_45,,,7,1,8,7,1,8,2,0.571429,0.625,0,0.001809,0,62,0.509675
43_84,,,2,1,3,2,1,3,1,1,1,0,0.00077,0,1104,0.025116
55_78,,,1,9,10,1,9,10,4,0.488372,0.642857,0.000001,0.000116,0,1103,0.005871
56_74,,,2,0,2,2,0,2,0,0,0,0,0.000331,0,626,0.037544
59_22,,,2,6,8,2,6,8,20,0.103758,0.120469,0.000531,0.000269,0,1086,0.047487
59_23,,,2,0,2,2,0,2,0,0,0,0,0.000126,0,1083,0.041646
59_24,,,2,2,4,2,2,4,23,0.084322,0.097373,0.000242,0.000269,0,1082,0.047487
76_2,,,3,1,4,3,1,4,1,1,1,0.000079,0.000254,0,2,0.076417
96_1,,,1,0,1,1,0,1,0,0,0,0,0.000116,0,0,0.005871
18_46,,,1,2,3,1,2,3,7,0.21134,0.263763,0.001215,0.000169,0,1074,0.044942
25_1,,,4,10,14,4,10,14,18,0.121506,0.142915,0.0083,0.000314,0,1081,0.195998
26_23,,,2,5,7,2,5,7,32,0.049711,0.05676,0.000786,0.000205,0,1081,0.062763
26_24,,,1,0,1,1,0,1,0,0,0,0,0.000169,0,1059,0.044942
2_247,,,2,0,2,2,0,2,0,0,0,0,0.000422,0,1182,0.058621
5_20,,,4,6,10,4,6,10,19,0.10421,0.117372,0.00068,0.000239,0,1181,0.073623
6_73,,,2,21,23,2,21,23,22,0.096253,0.130491,0.000312,0.000147,0,1175,0.041646
11_105,,,8,3,11,8,3,11,23,0.083285,0.095539,0.004111,0.000765,0,1081,0.404916
18_79,,,4,0,4,4,0,4,0,0,0,0,0.00017,0,1031,0.081027
19_40,,,1,0,1,1,0,1,0,0,0,0,0.000123,0,1128,0.035775
20_108,,,3,3,6,3,3,6,24,0.07794,0.088346,0.000721,0.000386,0,1081,0.188619
24_25,,,1,0,1,1,0,1,0,0,0,0,0.000123,0,1127,0.035775
25_26,,,5,6,11,5,6,11,23,0.072875,0.081229,0.000058,0.000212,0,1126,0.077493
37_53,,,1,0,1,1,0,1,0,0,0,0,0.000123,0,1123,0.035775
40_16,,,6,0,6,6,0,6,0,0,0,0,0.000234,0,992,0.152175
69_18,,,2,0,2,2,0,2,0,0,0,0,0.000214,0,66,0.053323
