ID,Source_Sura,Source_Verse,target_sura,Target_verse,common_roots,relevance_degree
1,1,1,1,2,0,2
2,1,1,1,3,2,1
3,1,1,1,4,0,0
4,1,1,3,1,0,0
5,1,1,3,2,0,0
6,1,1,4,78,0,0
7,1,1,6,3,1,0
8,1,1,6,14,1,0
9,1,1,7,180,1,1
10,1,1,9,128,2,0
11,1,1,11,41,3,2
12,1,1,13,28,0,0
13,1,1,14,1,0,0
14,1,1,14,2,1,0
15,1,1,16,53,0,0
16,1,1,17,110,3,1
17,1,1,18,38,0,0
18,1,1,19,65,1,0
19,1,1,20,5,2,1
20,1,1,23,88,0,0
21,1,1,25,59,3,0
22,1,1,25,60,2,1
23,1,1,33,43,2,0
24,1,1,43,45,2,1
25,1,1,43,84,1,0
26,1,1,55,78,1,1
27,1,1,56,74,1,1
28,1,1,59,22,2,0
29,1,1,59,23,0,1
30,1,1,59,24,1,1
31,1,1,76,2,0,0
32,1,1,96,1,1,2
33,1,2,18,46,1,1
34,1,2,25,1,1,1
35,1,2,26,23,2,1
36,1,2,26,24,1,1
37,1,4,2,247,1,1
38,1,4,5,20,1,1
39,1,4,6,73,2,1
40,1,4,11,105,1,1
41,1,4,18,79,1,1
42,1,4,19,40,0,1
43,1,4,20,108,0,1
44,1,4,24,25,1,2
45,1,4,25,26,2,2
46,1,4,37,53,1,1
47,1,4,40,16,2,2
48,1,4,59,23,1,1
49,1,4,69,18,0,1
50,1,4,78,38,2,1
51,1,4,114,1,0,0
52,1,4,114,2,1,1
53,1,5,1,2,0,0
54,1,5,1,3,0,0
55,1,5,1,4,0,0
56,1,5,1,6,0,0
57,1,5,1,7,0,0
58,1,5,11,123,1,2
59,1,5,15,97,0,0
60,1,5,15,98,0,1
61,1,5,15,99,1,2
62,1,5,17,1,1,1
63,1,5,18,1,1,1
64,1,5,67,29,0,2
65,1,5,72,19,1,1
66,1,5,73,9,0,2
67,1,6,3,8,1,1
68,1,6,4,136,0,1
69,1,6,7,43,1,1
70,1,6,16,121,3,2
71,1,6,21,87,0,1
72,1,6,28,24,0,1
73,1,6,37,23,2,1
74,1,6,42,52,3,1
75,1,6,90,10,1,2
76,1,7,1,6,1,1
77,1,7,2,90,1,2
78,1,7,3,7,0,1
79,1,7,4,69,1,2
80,1,7,4,70,0,0
81,1,7,5,2,0,0
82,1,7,5,60,2,2
83,1,7,5,77,2,2
84,1,7,5,78,0,2
85,1,7,5,79,0,1
86,1,7,7,186,1,1
87,1,7,10,88,1,1
88,1,7,10,89,0,0
89,1,7,18,17,1,1
90,1,7,58,14,1,2
91,2,2,2,3,0,1
92,2,2,10,57,1,2
93,2,2,17,82,0,2
94,2,2,32,1,0,0
95,2,2,32,2,2,2
96,2,2,41,44,1,2
97,2,3,2,1,0,0
98,2,3,2,2,0,1
99,2,3,2,5,0,1
100,2,3,9,61,1,1
101,2,3,12,17,1,1
102,2,3,35,28,0,1
103,2,3,50,33,1,2
104,2,3,67,12,1,2
105,2,3,84,25,1,1
106,2,4,2,3,1,1
107,2,4,2,285,3,2
108,2,4,3,199,3,2
109,2,4,4,47,4,1
110,2,4,4,136,5,2
111,2,4,4,152,1,2
112,2,4,5,68,2,1
113,2,4,28,52,2,1
114,2,4,28,53,2,1
115,2,4,28,54,0,1
116,2,4,29,46,3,2
117,2,4,87,1,0,0
118,2,4,87,2,0,0
119,2,4,87,3,0,0
120,2,4,87,4,0,0
121,2,4,87,5,0,0
122,2,5,2,1,0,0
123,2,5,2,2,1,0
124,2,5,2,4,0,1
125,2,5,2,6,0,0
126,2,5,2,7,0,0
127,2,6,2,145,0,2
128,2,6,10,96,1,2
129,2,6,10,97,0,1
130,2,6,11,12,2,1
131,2,6,13,40,0,1
132,2,6,14,28,1,1
133,2,6,14,29,0,0
134,2,7,4,155,1,2
135,2,7,6,110,2,2
136,2,7,42,24,2,1
137,2,7,45,23,5,2
138,2,7,56,22,0,0
139,2,7,61,5,1,2
140,2,7,83,14,1,2
141,2,8,63,1,1,2
142,2,9,4,142,2,2
143,2,9,58,18,0,1
144,2,10,9,101,1,1
145,2,10,9,124,1,2
146,2,10,9,125,4,2
147,2,10,33,60,3,2
148,2,10,33,61,0,1
149,2,10,34,54,1,1
150,2,10,47,17,1,1
151,2,10,47,30,0,1
152,2,10,57,14,1,1
153,2,11,4,144,0,0
154,2,11,4,145,0,0
155,2,11,8,73,2,2
156,2,13,4,5,4,1
157,2,14,6,112,3,1
158,2,15,2,194,0,0
159,2,15,3,54,0,2
160,2,15,3,178,0,2
161,2,15,4,142,0,1
