Id,Label,timeset,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1_1,,,0,0,0,0,0,32,32,17,0.156675,0.198845,0,0,0.015485,32,0.010081,0.000113,0,1185,0.006048,0
1_2,,,4,0.000962,0.326918,0.029802,4,4,8,19,0.111467,0.128129,106192.310366,0.002378,0.000005,32,0.035714,0.000266,0,1081,0.017857,0.081677
1_3,,,2,0.000481,0.004089,0.001448,2,0,2,0,0,0,0,0.002169,0,32,0,0.000138,0,1184,0,0.040133
1_4,,,4,0.000962,0.004571,0.001737,4,16,20,19,0.112899,0.141915,8827.788278,0.002291,0.001521,55,0.047368,0.000201,0,1183,0.028947,0.046239
3_1,,,3,0.000722,0.327159,0.037134,3,1,4,1,1,1,831.294444,0.027766,0.000004,5,0,0.000293,0,1008,0,0.313975
3_2,,,3,0.000722,0.326918,0.037085,3,1,4,22,0.08698,0.101723,1798,0.027766,0.002129,5,0,0.000293,0,1081,0,0.313975
4_78,,,7,0.001684,0.326918,0.021278,7,5,12,22,0.086513,0.096695,36179.399939,0.002252,0.000108,4,0.054545,0.000682,0,1081,0.036364,0.085794
6_3,,,2,0.000481,0.000481,0.000481,2,1,3,1,1,1,0,0.002046,0.000266,32,1,0.00077,0,1104,0.5,0.016091
6_14,,,1,0.000241,0.000241,0.000241,1,4,5,2,0.833333,0.9,5,0.002011,0.000084,21,0,0.000116,0,1120,0,0.003053
7_180,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.002011,0,32,0,0.000116,0,1118,0,0.003053
9_128,,,4,0.000962,0.326918,0.030973,4,5,9,18,0.106186,0.124924,104543.123858,0.002272,0.000645,32,0.055556,0.000242,0,1081,0.027778,0.061321
11_41,,,3,0.000722,0.326918,0.027036,3,8,11,21,0.097917,0.117289,47160.423779,0.00209,0.000475,71,0.111111,0.000215,0,1081,0.055556,0.059915
13_28,,,2,0.000481,0.327159,0.032331,2,0,2,0,0,0,0,0.002059,0,6,0,0.000153,0,458,0,0.082787
14_1,,,3,0.000722,0.326918,0.027449,3,2,5,23,0.082562,0.090786,637.357143,0.002116,0.000033,32,0.1,0.000215,0,1081,0.05,0.02509
14_2,,,1,0.000241,0.000241,0.000241,1,1,2,19,0.100011,0.110035,122.916667,0.002011,0.000034,32,0,0.000116,0,1117,0,0.003053
16_53,,,3,0.000722,0.3274,0.030783,3,1,4,1,1,1,1029.5,0.002113,0.000025,25,0.166667,0.000364,0,749,0.083333,0.081477
17_110,,,5,0.001203,0.003368,0.001746,5,2,7,21,0.098654,0.112348,11382.419426,0.002177,0.000541,32,0.142857,0.00036,0,1105,0.071429,0.041616
18_38,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.002011,0,32,0,0.000116,0,1116,0,0.003053
19_65,,,2,0.000481,0.000481,0.000481,2,0,2,0,0,0,0,0.002053,0,23,0,0.000132,0,1115,0,0.006105
20_5,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.002011,0,32,0,0.000116,0,1114,0,0.003053
23_88,,,4,0.000962,0.32764,0.02874,4,3,7,4,0.444444,0.604167,2950.666667,0.002207,0.000016,22,0.066667,0.000375,0,146,0.033333,0.103344
25_59,,,1,0.000241,0.000241,0.000241,1,3,4,19,0.104777,0.117647,151.833333,0.002011,0.000392,91,0.166667,0.000116,0,1113,0.166667,0.003053
25_60,,,1,0.000241,0.000241,0.000241,1,1,2,22,0.089843,0.099482,0,0.002011,0.000283,32,1,0.000116,0,1106,0.5,0.003053
33_43,,,2,0.000481,0.326918,0.024414,2,6,8,21,0.095084,0.111255,11862.232212,0.002162,0.000266,3,0.035714,0.000141,0,1081,0.017857,0.021386
43_45,,,7,0.001684,0.331489,0.037032,7,1,8,2,0.571429,0.625,4,0.002653,0.000182,32,0.333333,0.001809,0,62,0.190476,0.459445
43_84,,,2,0.000481,0.000481,0.000481,2,1,3,1,1,1,0,0.002046,0.000266,32,1,0.00077,0,1104,0.5,0.016091
55_78,,,1,0.000241,0.000241,0.000241,1,9,10,4,0.488372,0.642857,21,0.002011,0.000013,65,0,0.000116,0,1103,0,0.003053
56_74,,,2,0.000481,0.32764,0.024106,2,0,2,0,0,0,0,0.002046,0,17,0,0.000331,0,626,0,0.025916
59_22,,,2,0.000481,0.003608,0.00132,2,6,8,20,0.103758,0.120469,9167.224892,0.002081,0.00098,32,0.071429,0.000269,0,1086,0.053571,0.032661
59_23,,,2,0.000481,0.004811,0.001395,2,0,2,0,0,0,0,0.002209,0,55,1,0.000126,0,1083,0.5,0.029917
59_24,,,2,0.000481,0.003608,0.00132,2,2,4,23,0.084322,0.097373,4174.194535,0.002081,0.000035,32,0.166667,0.000269,0,1082,0.083333,0.032661
76_2,,,3,0.000722,0.328121,0.024136,3,1,4,1,1,1,1364,0.002085,0,26,0,0.000254,0,2,0,0.058806
96_1,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.002011,0,32,0,0.000116,0,0,0,0.003053
18_46,,,1,0.000241,0.327159,0.02735,1,2,3,7,0.21134,0.263763,20995.644048,0.000001,0.000001,22,0.333333,0.000169,0,1074,0.166667,0.037079
25_1,,,4,0.000962,0.326918,0.030797,4,10,14,18,0.121506,0.142915,143402.835138,0.000037,0.000314,17,0.043956,0.000314,0,1081,0.027473,0.175276
26_23,,,2,0.000481,0.326918,0.028665,2,5,7,32,0.049711,0.05676,13587.078968,0.000002,0.000404,75,0.047619,0.000205,0,1081,0.02381,0.051171
26_24,,,1,0.000241,0.327159,0.02735,1,0,1,0,0,0,0,0.000001,0,32,0,0.000169,0,1059,0,0.037079
2_247,,,2,0.000481,0.010585,0.002426,2,0,2,0,0,0,0,0.000201,0,15,0,0.000421,0,1182,0,0.04312
5_20,,,4,0.000962,0.006736,0.002245,4,6,10,19,0.10421,0.117372,11754.586172,0.000234,0.000212,65,0.044444,0.000239,0,1181,0.022222,0.049976
6_73,,,2,0.000481,0.005052,0.001494,2,21,23,22,0.096253,0.130491,5385.272619,0.000213,0.002208,55,0.039526,0.000147,0,1175,0.019763,0.029917
11_105,,,8,0.001924,0.326918,0.036224,8,3,11,23,0.083285,0.095539,71019.99803,0.000657,0.000551,106,0.071429,0.000765,0,1081,0.035714,0.355554
18_79,,,4,0.000962,0.327159,0.02552,4,0,4,0,0,0,0,0.000787,0,91,0.166667,0.00017,0,1031,0.166667,0.058851
19_40,,,1,0.000241,0.004811,0.001375,1,0,1,0,0,0,0,0.000198,0,55,0,0.000123,0,1128,0,0.026864
