Source,Target
1_1,1_2
1_1,1_3
1_1,1_4
1_1,3_1
1_1,3_2
1_1,4_78
1_1,6_3
1_1,6_14
1_1,7_180
1_1,9_128
1_1,11_41
1_1,13_28
1_1,14_1
1_1,14_2
1_1,16_53
1_1,17_110
1_1,18_38
1_1,19_65
1_1,20_5
1_1,23_88
1_1,25_59
1_1,25_60
1_1,33_43
1_1,43_45
1_1,43_84
1_1,55_78
1_1,56_74
1_1,59_22
1_1,59_23
1_1,59_24
1_1,76_2
1_1,96_1
1_2,18_46
1_2,25_1
1_2,26_23
1_2,26_24
1_4,2_247
1_4,5_20
1_4,6_73
1_4,11_105
1_4,18_79
1_4,19_40
1_4,20_108
1_4,24_25
1_4,25_26
1_4,37_53
1_4,40_16
1_4,59_23
1_4,69_18
1_4,78_38
1_4,114_1
1_4,114_2
1_5,1_2
1_5,1_3
1_5,1_4
1_5,1_6
1_5,1_7
1_5,11_123
1_5,15_97
1_5,15_98
1_5,15_99
1_5,17_1
1_5,18_1
1_5,67_29
1_5,72_19
1_5,73_9
1_6,3_8
1_6,4_136
1_6,7_43
1_6,16_121
1_6,21_87
1_6,28_24
1_6,37_23
1_6,42_52
1_6,90_10
1_7,1_6
1_7,2_90
1_7,3_7
1_7,4_69
1_7,4_70
1_7,5_2
1_7,5_60
1_7,5_77
1_7,5_78
1_7,5_79
1_7,7_186
1_7,10_88
1_7,10_89
1_7,18_17
1_7,58_14
2_2,2_3
2_2,10_57
2_2,17_82
2_2,32_1
2_2,32_2
2_2,41_44
2_3,2_1
2_3,2_2
2_3,2_5
2_3,9_61
2_3,12_17
2_3,35_28
2_3,50_33
2_3,67_12
2_3,84_25
2_4,2_3
2_4,2_285
2_4,3_199
2_4,4_47
2_4,4_136
2_4,4_152
2_4,5_68
2_4,28_52
2_4,28_53
2_4,28_54
2_4,29_46
2_4,87_1
2_4,87_2
2_4,87_3
2_4,87_4
2_4,87_5
2_5,2_1
2_5,2_2
2_5,2_4
2_5,2_6
2_5,2_7
2_6,2_145
2_6,10_96
2_6,10_97
2_6,11_12
2_6,13_40
2_6,14_28
2_6,14_29
2_7,4_155
2_7,6_110
2_7,42_24
2_7,45_23
2_7,56_22
2_7,61_5
2_7,83_14
2_8,63_1
2_9,4_142
2_9,58_18
2_10,9_101
2_10,9_124
2_10,9_125
2_10,33_60
2_10,33_61
2_10,34_54
2_10,47_17
2_10,47_30
2_10,57_14
2_11,4_144
2_11,4_145
2_11,8_73
2_13,4_5
2_14,6_112
2_15,2_194
2_15,3_54
2_15,3_178
2_15,4_142
2_15,6_110
2_15,9_67
2_15,9_79
2_15,22_46
2_15,42_40
2_15,57_13
2_15,69_11
2_16,41_17
2_16,63_3
2_17,2_8
2_17,29_43
2_17,31_28
2_17,33_19
2_17,62_5
2_17,63_3
2_18,22_46
2_19,9_56
2_19,9_57
2_19,63_4
2_19,85_17
2_19,85_18
2_19,85_19
2_19,85_20
2_20,22_3
2_20,22_8
2_20,22_11
2_20,24_39
2_20,24_40
2_20,57_12
2_20,57_13
2_20,66_8
2_20,76_24
2_22,21_32
2_22,35_27
2_22,35_28
2_22,40_64
2_23,10_37
2_23,10_38
2_23,11_13
2_23,17_88
2_23,28_49
2_24,2_104
2_24,6_115
2_24,7_157
2_24,10_38
2_24,11_1
2_24,17_68
2_24,17_97
2_24,21_98
2_24,26_205
2_24,26_206
2_24,26_207
2_24,29_40
2_24,32_17
2_24,43_71
2_24,67_16
2_24,67_17
2_24,72_15
2_24,103_1
2_24,103_2
2_24,103_3
2_24,108_1
2_26,2_17
2_26,2_19
2_26,6_44
2_26,6_154
2_26,14_24
2_26,14_25
2_26,14_26
2_26,14_27
2_26,16_75
