Source,Target,Weight
v4,v1,0.23570226039552
v15,v1,0.13608276348795
v16,v1,0.11785113019776
v17,v1,0.1740776559557
v21,v1,0.08908708063747
v24,v1,0.11785113019776
v26,v1,0.11785113019776
v27,v1,0.14433756729741
v38,v1,0.16666666666667
v39,v1,0.24618298195867
v43,v1,0.20412414523193
v44,v1,0.16666666666667
v45,v1,0.10540925533895
v49,v1,0.12909944487358
v60,v1,0.12909944487358
v65,v1,0.16666666666667
v69,v1,0.18257418583506
v86,v1,0.09365858115817
v4,v2,0.19245008972988
v30,v2,0.47140452079103
v31,v2,0.06950480468569
v44,v2,0.13608276348795
v46,v2,0.20100756305184
v47,v2,0.11785113019776
v49,v2,0.10540925533895
v52,v2,0.11111111111111
v55,v2,0.09622504486494
v56,v2,0.08908708063747
v58,v2,0.10540925533895
v80,v2,0.12598815766974
v82,v2,0.06804138174398
v87,v2,0.11111111111111
v88,v2,0.12598815766974
v103,v2,0.29814239699997
v105,v2,0.10540925533895
v107,v2,0.27216552697591
v110,v2,0.08908708063747
v1,v4,0.23570226039552
v2,v4,0.19245008972988
v15,v4,0.19245008972988
v16,v4,0.16666666666667
v17,v4,0.24618298195867
v21,v4,0.12598815766974
v24,v4,0.16666666666667
v26,v4,0.16666666666667
v38,v4,0.23570226039552
v39,v4,0.3481553119114
v43,v4,0.28867513459481
v44,v4,0.23570226039552
v45,v4,0.14907119849999
v47,v4,0.20412414523193
v52,v4,0.19245008972988
v69,v4,0.25819888974716
v86,v4,0.1324532357065
v15,v5,0.12598815766974
v26,v5,0.109108945118
v65,v5,0.15430334996209
v68,v5,0.21821789023599
v71,v5,0.11952286093344
v88,v5,0.14285714285714
v91,v5,0.26726124191242
v13,v6,0.14907119849999
v22,v6,0.09534625892456
v27,v6,0.15811388300842
v83,v6,0.22360679774998
v103,v6,0.2
v14,v7,0.13363062095621
v26,v7,0.14433756729741
v41,v7,0.25
v45,v7,0.12909944487358
v46,v7,0.15075567228888
v47,v7,0.17677669529664
v51,v7,0.16666666666667
v84,v7,0.35355339059327
v40,v8,0.25
v10,v9,0.15811388300842
v11,v9,0.22360679774998
v16,v9,0.14433756729741
v17,v9,0.21320071635561
v25,v9,0.25
v106,v9,0.20412414523193
v9,v10,0.15811388300842
v11,v10,0.14142135623731
v13,v10,0.31622776601684
v14,v10,0.1690308509457
v16,v10,0.54772255750517
v17,v10,0.06741998624632
v19,v10,0.05976143046672
v21,v10,0.13801311186847
v22,v10,0.06741998624632
v24,v10,0.18257418583506
v25,v10,0.15811388300842
v27,v10,0.11180339887499
v28,v10,0.14142135623731
v29,v10,0.06593804733958
v36,v10,0.12909944487358
v38,v10,0.25819888974716
v40,v10,0.11180339887499
v42,v10,0.10540925533895
v46,v10,0.09534625892456
v48,v10,0.12909944487358
v49,v10,0.1
v50,v10,0.15811388300842
v55,v10,0.18257418583506
v57,v10,0.1690308509457
v58,v10,0.2
v60,v10,0.1
v63,v10,0.10540925533895
v65,v10,0.12909944487358
v70,v10,0.22360679774998
v81,v10,0.25819888974716
v82,v10,0.19364916731037
v87,v10,0.10540925533895
v95,v10,0.12909944487358
v98,v10,0.30678599553895
v105,v10,0.1
v109,v10,0.14142135623731
v110,v10,0.1690308509457
v9,v11,0.22360679774998
v10,v11,0.14142135623731
v16,v11,0.12909944487358
v17,v11,0.09534625892456
v25,v11,0.22360679774998
v57,v11,0.11952286093344
v73,v11,0.18257418583506
v101,v11,0.2
v19,v12,0.28571428571429
v25,v12,0.18898223650461
v26,v12,0.109108945118
v48,v12,0.15430334996209
v59,v12,0.15430334996209
v6,v13,0.14907119849999
v10,v13,0.31622776601684
v14,v13,0.17817416127495
v16,v13,0.19245008972988
v19,v13,0.06299407883487
v21,v13,0.14547859349066
v22,v13,0.14213381090374
v24,v13,0.19245008972988
v27,v13,0.23570226039552
v28,v13,0.07453559924999
v29,v13,0.13900960937138
v30,v13,0.11785113019776
v36,v13,0.13608276348795
v38,v13,0.27216552697591
v40,v13,0.11785113019776
v42,v13,0.11111111111111
v44,v13,0.13608276348795
v46,v13,0.10050378152592
v48,v13,0.13608276348795
v49,v13,0.10540925533895
v50,v13,0.08333333333333
v55,v13,0.19245008972988
v56,v13,0.08908708063747
v57,v13,0.17817416127495
v58,v13,0.10540925533895
v81,v13,0.13608276348795
v82,v13,0.13608276348795
v83,v13,0.16666666666667
v87,v13,0.11111111111111
v95,v13,0.13608276348795
v98,v13,0.24253562503633
v103,v13,0.14907119849999
v105,v13,0.10540925533895
v107,v13,0.13608276348795
v109,v13,0.14907119849999
v110,v13,0.17817416127495
v7,v14,0.13363062095621
v10,v14,0.1690308509457
v13,v14,0.17817416127495
v16,v14,0.15430334996209
v19,v14,0.10101525445522
v21,v14,0.11664236870396
v22,v14,0.11396057645964
v24,v14,0.30860669992418
v26,v14,0.15430334996209
v27,v14,0.18898223650461
v28,v14,0.11952286093344
v29,v14,0.11145564251507
v36,v14,0.21821789023599
v38,v14,0.43643578047198
v40,v14,0.18898223650461
v41,v14,0.13363062095621
v42,v14,0.17817416127495
v45,v14,0.06900655593424
v46,v14,0.16116459280508
v47,v14,0.09449111825231
v48,v14,0.21821789023599
v49,v14,0.1690308509457
v50,v14,0.13363062095621
v51,v14,0.17817416127495
v52,v14,0.08908708063747
v55,v14,0.15430334996209
v57,v14,0.21428571428571
v58,v14,0.1690308509457
v80,v14,0.10101525445522
v81,v14,0.21821789023599
v82,v14,0.21821789023599
v84,v14,0.18898223650461
v87,v14,0.17817416127495
v95,v14,0.21821789023599
v98,v14,0.3889222341313
v105,v14,0.1690308509457
v109,v14,0.23904572186688
v110,v14,0.28571428571429
v1,v15,0.13608276348795
v4,v15,0.19245008972988
v5,v15,0.12598815766974
v16,v15,0.19245008972988
v17,v15,0.14213381090374
v19,v15,0.06299407883487
v21,v15,0.07273929674533
v24,v15,0.09622504486494
v26,v15,0.09622504486494
v35,v15,0.16666666666667
v38,v15,0.13608276348795
v39,v15,0.20100756305184
v43,v15,0.16666666666667
v44,v15,0.27216552697591
v45,v15,0.08606629658239
v54,v15,0.14907119849999
v55,v15,0.09622504486494
v57,v15,0.08908708063747
v62,v15,0.11111111111111
v69,v15,0.14907119849999
v71,v15,0.10540925533895
v77,v15,0.15713484026368
v79,v15,0.0924500327042
v86,v15,0.15294382258037
v90,v15,0.11785113019776
v93,v15,0.12598815766974
v96,v15,0.17213259316477
v110,v15,0.08908708063747
v1,v16,0.11785113019776
v4,v16,0.16666666666667
v9,v16,0.14433756729741
v10,v16,0.54772255750517
v11,v16,0.12909944487358
v13,v16,0.19245008972988
v14,v16,0.15430334996209
v15,v16,0.19245008972988
v17,v16,0.184637236469
v19,v16,0.054554472559
v21,v16,0.18898223650461
v22,v16,0.06154574548967
v24,v16,0.25
v25,v16,0.14433756729741
v26,v16,0.08333333333333
v27,v16,0.10206207261597
v28,v16,0.12909944487358
v29,v16,0.06019292654288
v36,v16,0.11785113019776
v38,v16,0.35355339059327
v39,v16,0.1740776559557
v40,v16,0.10206207261597
v42,v16,0.09622504486494
v43,v16,0.14433756729741
v44,v16,0.11785113019776
v45,v16,0.07453559924999
v46,v16,0.08703882797785
v48,v16,0.11785113019776
v49,v16,0.09128709291753
v50,v16,0.0721687836487
v55,v16,0.08333333333333
v57,v16,0.07715167498105
v58,v16,0.18257418583506
v65,v16,0.11785113019776
v69,v16,0.12909944487358
v81,v16,0.23570226039552
v82,v16,0.17677669529664
v86,v16,0.06622661785325
v87,v16,0.09622504486494
v95,v16,0.11785113019776
v98,v16,0.2800560168056
v105,v16,0.09128709291753
v109,v16,0.12909944487358
v110,v16,0.23145502494314
v1,v17,0.1740776559557
v4,v17,0.24618298195867
v9,v17,0.21320071635561
v10,v17,0.06741998624632
v11,v17,0.09534625892456
v15,v17,0.14213381090374
v16,v17,0.184637236469
v18,v17,0.06428243465332
v21,v17,0.09304842103985
v24,v17,0.184637236469
v25,v17,0.10660035817781
v26,v17,0.12309149097933
v33,v17,0.07106690545187
v38,v17,0.1740776559557
v39,v17,0.25712973861329
v43,v17,0.21320071635561
v44,v17,0.1740776559557
v45,v17,0.11009637651264
v49,v17,0.06741998624632
v57,v17,0.05698028822982
v69,v17,0.19069251784912
v71,v17,0.06741998624632
v74,v17,0.04767312946228
v77,v17,0.05025189076296
v86,v17,0.14673479641336
v90,v17,0.07537783614444
v106,v17,0.08703882797785
v17,v18,0.06428243465332
v22,v18,0.19284730395997
v10,v19,0.05976143046672
v12,v19,0.28571428571429
v13,v19,0.06299407883487
v14,v19,0.10101525445522
v15,v19,0.06299407883487
v16,v19,0.054554472559
v21,v19,0.12371791482635
v22,v19,0.08058229640254
v24,v19,0.109108945118
v25,v19,0.28347335475692
v26,v19,0.21821789023599
v27,v19,0.06681531047811
v28,v19,0.04225771273643
v29,v19,0.03940552031196
v36,v19,0.07715167498105
v38,v19,0.15430334996209
v40,v19,0.13363062095621
v42,v19,0.06299407883487
v45,v19,0.04879500364743
v46,v19,0.05698028822982
v47,v19,0.13363062095621
v48,v19,0.07715167498105
v49,v19,0.05976143046672
v50,v19,0.04724555912615
v52,v19,0.12598815766974
v55,v19,0.054554472559
v56,v19,0.05050762722761
v57,v19,0.05050762722761
v58,v19,0.05976143046672
v62,v19,0.06299407883487
v77,v19,0.04454354031874
v81,v19,0.07715167498105
v82,v19,0.11572751247157
v87,v19,0.06299407883487
v95,v19,0.07715167498105
v96,v19,0.09759000729485
v98,v19,0.13750477455423
v99,v19,0.14285714285714
v100,v19,0.18898223650461
v105,v19,0.17928429140016
