surah_id,ayah_id,surah_title_ar,surah_title_en,surah_title_en_trans,revelation_type,surah,ayah,ayah_title,juz,manzil,page,hizb_quarter,sajda,sajda_id,sajda_recommended,sajda_obligatory,malay,saheeh,yusufali
1,1,الفاتحة,Al-Faatiha,The Opening,Meccan,1,1,1:1,1,1,1,1,FALSE,NA,NA,NA,"Dengan nama Allah, Yang Maha Pemurah, lagi Maha Mengasihani","In the name of Allah, the Entirely Merciful, the Especially Merciful.","In the name of Allah, Most Gracious, Most Merciful."
1,2,الفاتحة,Al-Faatiha,The Opening,Meccan,1,2,1:2,1,1,1,1,FALSE,NA,NA,NA,"Segala puji tertentu bagi Allah, Tuhan yang Memelihara dan Mentadbirkan sekalian alam","[All] praise is [due] to Allah, Lord of the worlds -","Praise be to Allah, the Cherisher and Sustainer of the worlds;"
1,3,الفاتحة,Al-Faatiha,The Opening,Meccan,1,3,1:3,1,1,1,1,FALSE,NA,NA,NA,"Yang Maha Pemurah, lagi Maha Mengasihani","The Entirely Merciful, the Especially Merciful,","Most Gracious, Most Merciful;"
1,4,الفاتحة,Al-Faatiha,The Opening,Meccan,1,4,1:4,1,1,1,1,FALSE,NA,NA,NA,Yang Menguasai pemerintahan hari Pembalasan (hari akhirat),Sovereign of the Day of Recompense.,Master of the Day of Judgment.
1,5,الفاتحة,Al-Faatiha,The Opening,Meccan,1,5,1:5,1,1,1,1,FALSE,NA,NA,NA,Engkaulah sahaja (Ya Allah) Yang Kami sembah dan kepada Engkaulah sahaja kami memohon pertolongan.,It is You we worship and You we ask for help.,"Thee do we worship, and Thine aid we seek."
1,6,الفاتحة,Al-Faatiha,The Opening,Meccan,1,6,1:6,1,1,1,1,FALSE,NA,NA,NA,Tunjukilah kami jalan yang lurus.,Guide us to the straight path -,"Show us the straight way,"
1,7,الفاتحة,Al-Faatiha,The Opening,Meccan,1,7,1:7,1,1,1,1,FALSE,NA,NA,NA,"Iaitu jalan orang-orang yang Engkau telah kurniakan nikmat kepada mereka, bukan (jalan) orang-orang yang Engkau telah murkai dan bukan pula (jalan) orang-orang yang sesat.","The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.","The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray."
2,8,البقرة,Al-Baqara,The Cow,Medinan,2,1,2:1,1,1,2,1,FALSE,NA,NA,NA,"Alif, Laam, Miim.
","Alif, Lam, Meem.",A. L. M.
2,9,البقرة,Al-Baqara,The Cow,Medinan,2,2,2:2,1,1,2,1,FALSE,NA,NA,NA,"Kitab Al-Quran ini, tidak ada sebarang syak padanya (tentang datangnya dari Allah dan tentang sempurnanya); ia pula menjadi petunjuk bagi orang-orang yang (hendak) bertaqwa;
","This is the Book about which there is no doubt, a guidance for those conscious of Allah -","This is the Book; in it is guidance sure, without doubt, to those who fear Allah;"
2,10,البقرة,Al-Baqara,The Cow,Medinan,2,3,2:3,1,1,2,1,FALSE,NA,NA,NA,"Iaitu orang-orang yang beriman kepada perkara-perkara yang ghaib, dan mendirikan (mengerjakan) sembahyang serta membelanjakan (mendermakan) sebahagian dari rezeki yang Kami berikan kepada mereka.
","Who believe in the unseen, establish prayer, and spend out of what We have provided for them,","Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;"
2,11,البقرة,Al-Baqara,The Cow,Medinan,2,4,2:4,1,1,2,1,FALSE,NA,NA,NA,"Dan juga orang-orang yang beriman kepada Kitab ""Al-Quran"" yang diturunkan kepadamu (Wahai Muhammad), dan Kitab-kitab yang diturunkan dahulu daripadamu, serta mereka yakin akan (adanya) hari akhirat (dengan sepenuhnya).
","And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].","And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter."
2,12,البقرة,Al-Baqara,The Cow,Medinan,2,5,2:5,1,1,2,1,FALSE,NA,NA,NA,"Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka, dan merekalah orang-orang yang berjaya.
","Those are upon [right] guidance from their Lord, and it is those who are the successful.","They are on (true) guidance, from their Lord, and it is these who will prosper."
2,13,البقرة,Al-Baqara,The Cow,Medinan,2,6,2:6,1,1,3,1,FALSE,NA,NA,NA,"Sesungguhnya orang-orang kafir (yang tidak akan beriman), sama sahaja kepada mereka: sama ada engkau beri amaran kepadanya atau engkau tidak beri amaran, mereka tidak akan beriman.
","Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.","As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe."
2,14,البقرة,Al-Baqara,The Cow,Medinan,2,7,2:7,1,1,3,1,FALSE,NA,NA,NA,"(Dengan sebab keingkaran mereka), Allah mematerikan atas hati mereka serta pendengaran mereka, dan pada penglihatan mereka ada penutupnya; dan bagi mereka pula disediakan azab seksa yang amat besar.
","Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.","Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur)."
2,15,البقرة,Al-Baqara,The Cow,Medinan,2,8,2:8,1,1,3,1,FALSE,NA,NA,NA,"Dan di antara manusia ada yang berkata: ""Kami telah beriman kepada Allah dan kepada hari akhirat""; padahal mereka sebenarnya tidak beriman.
","And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.","Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe."
2,16,البقرة,Al-Baqara,The Cow,Medinan,2,9,2:9,1,1,3,1,FALSE,NA,NA,NA,"Mereka hendak memperdayakan Allah dan orang-orang yang beriman, padahal mereka hanya memperdaya dirinya sendiri, sedang mereka tidak menyedarinya.
","They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.","Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!"
2,17,البقرة,Al-Baqara,The Cow,Medinan,2,10,2:10,1,1,3,1,FALSE,NA,NA,NA,"Dalam hati mereka (golongan yang munafik itu) terdapat penyakit (syak dan hasad dengki), maka Allah tambahkan lagi penyakit itu kepada mereka; dan mereka pula akan beroleh azab seksa yang tidak terperi sakitnya, dengan sebab mereka berdusta (dan mendustakan kebenaran).
","In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.","In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves)."
2,18,البقرة,Al-Baqara,The Cow,Medinan,2,11,2:11,1,1,3,1,FALSE,NA,NA,NA,"Dan apabila dikatakan kepada mereka: ""Janganlah kamu membuat bencana dan kerosakan di muka bumi"", mereka menjawab: "" Sesungguhnya kami orang-orang yang hanya membuat kebaikan"".
","And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers.""","When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!"""
2,19,البقرة,Al-Baqara,The Cow,Medinan,2,12,2:12,1,1,3,1,FALSE,NA,NA,NA,"Ketahuilah! Bahawa sesungguhnya mereka itulah orang-orang yang sebenar-benarnya membuat bencana dan kerosakan, tetapi mereka tidak menyedarinya.
","Unquestionably, it is they who are the corrupters, but they perceive [it] not.","Of a surety, they are the ones who make mischief, but they realise (it) not."
2,20,البقرة,Al-Baqara,The Cow,Medinan,2,13,2:13,1,1,3,1,FALSE,NA,NA,NA,"Dan apabila dikatakan kepada mereka: ""Berimanlah kamu sebagaimana orang-orang itu telah beriman"". Mereka menjawab: ""Patutkah kami ini beriman sebagaimana berimannya orang-orang bodoh itu?"" Ketahuilah! Sesungguhnya merekalah orang-orang yang bodoh, tetapi mereka tidak mengetahui (hakikat yang sebenarnya).
","And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not.","When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know."
