Source,Target
2:4,87:1
2:4,87:2
2:4,87:3
2:4,87:4
2:4,87:5
2:106,87:6
2:238,87:1
2:238,87:2
2:238,87:3
2:238,87:4
3:185,87:16
3:185,87:17
4:164,87:14
4:164,87:15
4:164,87:16
4:164,87:17
4:164,87:18
4:164,87:19
7:30,87:3
13:26,87:16
13:26,87:17
16:30,87:17
18:19,87:14
20:50,87:3
20:74,87:11
20:74,87:12
20:74,87:13
28:60,87:16
28:60,87:17
41:7,87:14
41:8,87:15
43:77,87:11
43:77,87:12
43:77,87:13
54:49,87:1
54:49,87:2
54:49,87:3
56:96,87:1
87:18,87:14
87:18,87:15
87:18,87:16
87:18,87:17
91:9,87:14
91:9,87:15
2:5,2:4
2:177,41:7
2:177,91:9
3:185,13:26
3:185,28:60
4:78,3:185
4:164,87:18
6:16,3:185
7:30,20:50
7:126,20:74
9:82,43:77
13:39,2:106
16:101,2:106
20:50,20:50
20:74,43:77
23:4,41:7
23:4,91:9
26:23,20:50
28:60,13:26
29:55,54:49
33:35,2:238
35:36,20:74
35:36,43:77
35:37,43:77
38:54,41:8
41:7,91:9
48:5,3:185
87:3,20:50
87:13,43:77
1:1,4:78
1:2,26:23
2:3,2:5
2:4,87:3
2:48,6:16
2:124,33:35
2:142,2:177
2:177,41:7
2:238,87:3
2:244,4:78
3:93,2:177
3:185,28:60
4:78,3:185
4:162,2:177
6:16,3:185
7:30,20:50
7:30,87:3
7:126,20:74
10:72,7:126
12:101,7:126
14:17,35:36
14:44,35:37
16:28,35:36
17:15,35:37
20:50,87:3
20:50,20:50
20:74,35:36
20:74,87:13
20:104,35:37
22:45,4:78
23:4,41:7
23:100,35:37
26:23,20:50
27:47,4:78
28:42,26:23
33:41,33:35
35:32,35:36
35:36,20:74
36:19,4:78
39:16,29:55
40:11,35:37
43:77,35:36
43:77,87:13
46:9,48:5
48:2,48:5
48:5,3:185
50:18,13:39
54:49,87:3
59:9,2:177
61:2,4:78
62:8,4:78
76:8,2:177
87:3,20:50
87:13,35:36
1:1,1:2
1:1,4:78
1:2,26:23
1:5,1:2
2:2,2:3
2:4,2:3
2:4,87:3
2:5,2:4
2:28,40:11
2:44,61:2
2:48,6:16
2:59,2:142
2:96,62:8
2:106,3:93
2:115,2:142
2:128,2:124
2:142,2:177
2:144,2:142
2:177,59:9
2:177,76:8
2:238,87:3
2:244,4:78
3:93,2:177
3:93,76:8
4:78,3:185
4:78,22:45
4:125,2:124
4:160,3:93
4:162,2:177
5:41,3:93
5:66,35:32
6:16,3:185
6:61,50:18
6:104,17:15
6:131,17:15
6:154,2:124
6:163,10:72
6:163,12:101
7:4,22:45
7:30,20:50
7:30,87:3
7:52,17:15
7:100,14:44
7:100,22:45
7:101,17:15
7:126,20:74
8:24,1:2
8:72,59:9
9:82,43:77
10:27,14:44
10:45,20:104
10:72,7:126
10:72,12:101
11:99,28:42
11:110,17:15
12:101,7:126
12:109,46:9
13:11,50:18
14:17,35:36
14:44,23:100
15:88,1:2
15:90,14:44
16:28,35:36
16:43,46:9
17:13,50:18
17:52,20:104
18:29,14:17
19:23,12:101
19:54,61:2
20:50,87:3
20:50,20:50
20:74,35:36
20:74,43:77
20:74,87:13
21:7,46:9
21:11,22:45
21:39,39:16
22:45,4:78
22:66,40:11
23:1,59:9
23:100,14:17
23:100,14:44
23:100,40:11
23:105,17:15
23:107,40:11
24:37,76:8
26:23,20:50
26:203,14:44
26:209,17:15
27:47,4:78
27:47,36:19
28:42,26:23
28:59,17:15
29:55,39:16
29:55,54:49
31:32,35:32
32:26,22:45
33:35,2:238
33:35,33:41
33:56,33:41
35:32,35:36
35:36,20:74
35:36,43:77
35:37,17:15
35:37,40:11
35:37,43:77
36:19,4:78
36:19,27:47
43:77,35:36
43:77,87:13
44:12,14:44
46:8,48:2
46:9,48:5
48:2,48:5
48:5,3:185
53:37,2:124
53:56,46:9
54:49,87:3
56:7,35:32
57:7,2:3
59:9,2:177
59:9,76:8
59:10,59:9
61:2,4:78
62:8,4:78
63:10,14:44
63:10,23:100
67:9,17:15
75:15,16:28
76:8,2:177
87:3,20:50
87:13,35:36
87:13,43:77
94:2,48:2
99:7,76:8
1:1,1:2
1:1,4:78
1:2,26:23
1:5,1:2
2:3,2:2
2:3,2:5
2:4,87:3
2:5,2:2
2:5,2:4
2:26,6:154
2:44,61:2
2:48,6:16
2:59,2:142
2:75,2:44
2:96,62:8
2:106,3:93
2:115,2:142
2:115,2:144
2:121,5:66
2:124,2:128
2:124,33:35
2:124,53:37
2:142,2:144
2:142,2:177
2:144,2:115
2:144,2:142
2:150,2:144
2:177,59:9
2:177,76:8
2:183,2:144
2:238,87:3
2:244,4:78
2:256,13:11
2:271,63:10
3:7,59:10
3:93,2:177
3:93,76:8
3:164,12:109
4:25,33:56
4:40,99:7
4:59,16:43
4:78,22:45
4:123,99:7
4:125,53:37
4:160,3:93
4:162,2:177
5:41,3:93
5:66,35:32
5:75,12:109
6:46,8:24
6:61,13:11
6:66,18:29
6:130,12:109
6:131,67:9
6:146,4:160
6:163,10:72
6:163,12:101
6:164,1:5
7:4,22:45
7:5,21:11
7:30,20:50
7:30,87:3
7:100,14:44
7:100,22:45
7:100,32:26
7:126,20:74
7:172,53:56
7:186,5:41
8:24,1:2
8:53,13:11
8:60,99:7
8:72,59:9
8:75,59:10
9:82,43:77
9:97,12:109
9:100,59:10
10:27,14:44
10:30,17:13
10:72,6:163
10:72,7:126
10:72,12:101
10:84,1:5
11:17,2:2
11:99,28:42
12:101,7:126
12:101,19:23
12:109,46:9
13:13,13:11
13:33,5:41
13:39,2:106
14:16,18:29
14:17,35:36
14:44,23:100
14:44,35:37
14:44,63:10
15:88,1:2
15:88,8:24
15:90,14:44
16:28,35:36
16:37,5:41
16:43,46:9
16:85,21:39
16:101,2:106
16:118,4:160
16:121,53:37
17:13,75:15
17:13,99:7
17:15,35:37
17:15,67:9
18:29,14:17
18:31,18:29
18:37,2:28
19:23,12:101
19:54,61:2
19:63,23:1
20:15,99:7
20:50,87:3
20:50,20:50
20:55,17:52
20:74,35:36
20:74,43:77
20:74,87:13
20:104,35:37
20:128,32:26
20:131,15:88
21:7,12:109
21:7,46:9
21:11,22:45
22:45,4:78
22:66,2:28
22:68,46:8
22:78,2:128
23:1,59:9
23:100,14:17
23:100,14:44
23:100,35:37
23:100,63:10
23:104,21:39
23:107,67:9
24:37,76:8
24:64,2:144
25:20,12:109
26:23,20:50
26:203,14:44
26:207,2:96
26:209,28:59
27:47,4:78
27:47,36:19
27:87,17:52
28:42,11:99
28:42,26:23
28:49,6:154
29:17,1:5
29:27,53:37
29:54,18:29
29:55,21:39
29:55,54:49
30:25,17:52
31:16,99:7
31:32,35:32
32:26,22:45
33:35,2:238
33:41,33:35
35:32,35:36
35:36,20:74
35:36,43:77
35:37,43:77
35:37,53:56
35:37,67:9
35:43,13:11
36:19,4:78
36:19,27:47
36:53,17:52
37:102,19:54
37:105,53:37
39:16,29:55
39:42,6:61
39:68,17:52
39:71,67:9
40:11,2:28
40:11,23:107
40:11,35:37
41:24,23:107
42:30,99:7
43:77,35:36
43:77,87:13
44:12,14:44
45:26,2:28
45:28,75:15
46:8,48:2
46:9,48:5
46:29,12:109
46:35,10:45
47:18,53:56
48:2,48:5
50:22,17:13
50:44,17:52
53:56,46:9
54:49,87:3
55:33,10:27
56:7,35:32
56:85,6:61
59:9,2:177
59:9,76:8
59:10,59:9
61:2,4:78
62:7,2:96
62:8,4:78
63:10,14:44
63:10,23:100
67:1,2:28
70:23,23:1
72:16,5:66
73:9,1:5
75:15,16:28
75:30,6:61
76:8,2:177
79:13,17:52
79:25,11:99
81:7,56:7
86:4,13:11
87:3,20:50
87:13,35:36
87:13,43:77
87:19,53:37
94:2,48:2
99:7,76:8
108:2,6:163
